Date,spot_vix,vix3m,vixy,es_price,irx
2020-01-02,12.47,15.19,956.0,3259.0,1.4950000047683716
2020-01-03,14.02,16.01,1004.0,3235.5,1.4730000495910645
2020-01-06,13.85,15.92,992.0,3243.5,1.4880000352859497
2020-01-07,13.79,15.86,988.0,3235.25,1.5
2020-01-08,13.45,15.4,968.7999877929688,3260.25,1.4930000305175781
2020-01-09,12.54,14.95,934.4000244140625,3276.0,1.5
2020-01-10,12.56,14.95,928.7999877929688,3264.75,1.4980000257492065
2020-01-13,12.32,14.64,904.0,3289.75,1.5099999904632568
2020-01-14,12.39,14.64,899.2000122070312,3288.0,1.5299999713897705
2020-01-15,12.42,14.63,895.2000122070312,3293.75,1.5080000162124634
2020-01-16,12.32,14.45,874.4000244140625,3316.5,1.5180000066757202
2020-01-17,12.1,14.41,876.7999877929688,3325.0,1.5230000019073486
2020-01-21,12.85,14.87,882.4000244140625,3319.5,1.503000020980835
2020-01-22,12.91,14.98,888.0,3319.75,1.5130000114440918
2020-01-23,12.98,14.99,885.5999755859375,3326.0,1.5149999856948853
2020-01-24,14.56,16.07,936.7999877929688,3293.5,1.4900000095367432
2020-01-27,18.23,18.16,1033.5999755859375,3239.5,1.5049999952316284
2020-01-28,16.28,17.03,975.2000122070312,3278.25,1.5299999713897705
2020-01-29,16.39,17.03,976.0,3272.5,1.5199999809265137
2020-01-30,15.49,16.59,960.7999877929688,3289.75,1.527999997138977
2020-01-31,18.84,18.63,1069.5999755859375,3224.0,1.5099999904632568
2020-02-03,17.97,18.04,1029.5999755859375,3245.5,1.5180000066757202
2020-02-04,16.05,16.7,973.5999755859375,3299.5,1.5379999876022339
2020-02-05,15.15,16.11,935.2000122070312,3335.0,1.5199999809265137
2020-02-06,14.96,15.89,926.4000244140625,3345.25,1.5299999713897705
2020-02-07,15.47,16.29,938.4000244140625,3325.5,1.5180000066757202
2020-02-10,15.04,16.13,928.0,3353.0,1.5199999809265137
2020-02-11,15.18,16.14,929.5999755859375,3357.5,1.5379999876022339
2020-02-12,13.74,15.36,884.7999877929688,3380.5,1.534999966621399
2020-02-13,14.15,15.68,900.0,3377.5,1.5449999570846558
2020-02-14,13.68,15.5,888.0,3381.0,1.534999966621399
2020-02-18,14.83,16.1,903.2000122070312,3369.25,1.534999966621399
2020-02-19,14.38,15.82,892.0,3387.25,1.5429999828338623
2020-02-20,15.56,16.6,920.7999877929688,3369.25,1.5379999876022339
2020-02-21,17.08,17.61,980.7999877929688,3339.25,1.5180000066757202
2020-02-24,25.03,21.92,1160.800048828125,3226.25,1.503000020980835
2020-02-25,27.85,23.86,1272.800048828125,3132.5,1.4900000095367432
2020-02-26,27.56,23.7,1243.199951171875,3110.25,1.4780000448226929
2020-02-27,39.16,29.92,1444.800048828125,2957.0,1.3949999809265137
2020-02-28,40.11,29.85,1507.199951171875,2951.0,1.2300000190734863
2020-03-02,33.42,27.7,1444.800048828125,3065.0,1.1349999904632568
2020-03-03,36.82,30.17,1608.800048828125,2997.0,0.9179999828338623
2020-03-04,31.99,27.51,1521.5999755859375,3114.75,0.675000011920929
2020-03-05,39.62,32.57,1763.199951171875,3015.5,0.5950000286102295
2020-03-06,41.94,35.46,1946.4000244140625,2964.0,0.41499999165534973
2020-03-09,54.46,43.05,2480.0,2747.75,0.33000001311302185
2020-03-10,47.3,39.44,2237.60009765625,2865.75,0.38999998569488525
2020-03-11,53.9,44.37,2513.60009765625,2740.25,0.36800000071525574
2020-03-12,75.47,57.24,3116.800048828125,2469.0,0.27300000190734863
2020-03-13,57.83,48.31,2840.0,2696.0,0.24300000071525574
2020-03-16,82.69,67.7,3950.39990234375,2416.25,0.1850000023841858
2020-03-17,75.91,65.27,3854.39990234375,2495.5,0.16500000655651093
2020-03-18,76.45,72.98,4504.0,2414.0,0.003000000026077032
2020-03-19,72.0,69.47,4080.0,2403.25,-0.02800000086426735
2020-03-20,66.04,65.59,4001.60009765625,2437.97998046875,-0.032999999821186066
2020-03-23,61.59,56.64,3374.39990234375,2220.5,-0.03999999910593033
2020-03-24,61.67,52.11,3078.39990234375,2438.0,-0.032999999821186066
2020-03-25,63.95,53.85,3328.0,2467.0,-0.07000000029802322
2020-03-26,61.0,49.79,3036.0,2608.0,-0.10499999672174454
2020-03-27,65.54,55.75,3304.800048828125,2524.0,-0.057999998331069946
2020-03-30,57.08,51.26,3199.199951171875,2611.25,0.013000000268220901
2020-03-31,53.54,48.32,3034.39990234375,2569.75,0.029999999329447746
2020-04-01,57.06,51.17,3295.199951171875,2448.0,0.06300000101327896
2020-04-02,50.91,47.3,3116.0,2516.5,0.06499999761581421
2020-04-03,46.8,44.84,2980.0,2482.75,0.057999998331069946
2020-04-06,45.24,43.09,2768.0,2644.5,0.05999999865889549
2020-04-07,46.7,43.42,2848.800048828125,2642.0,0.12800000607967377
2020-04-08,43.35,41.59,2789.60009765625,2735.0,0.1850000023841858
2020-04-09,41.67,40.61,2729.60009765625,2779.75,0.20999999344348907
2020-04-13,41.17,39.97,2672.0,2759.25,0.20000000298023224
2020-04-14,37.76,36.46,2457.60009765625,2843.0,0.16500000655651093
2020-04-15,40.84,39.28,2661.60009765625,2775.0,0.11500000208616257
2020-04-16,40.11,39.21,2676.800048828125,2787.5,0.10999999940395355
2020-04-17,38.15,37.28,2566.39990234375,2870.0,0.10300000011920929
2020-04-20,43.83,40.97,2819.199951171875,2806.5,0.07000000029802322
2020-04-21,45.41,43.28,3048.0,2732.0,0.09799999743700027
2020-04-22,41.98,40.92,2900.800048828125,2788.5,0.09300000220537186
2020-04-23,41.38,40.86,2899.199951171875,2780.75,0.09300000220537186
2020-04-24,35.93,37.81,2740.0,2829.5,0.10000000149011612
2020-04-27,33.29,35.33,2524.0,2869.0,0.09300000220537186
2020-04-28,33.57,35.37,2567.199951171875,2867.25,0.08500000089406967
2020-04-29,31.23,33.33,2406.39990234375,2941.0,0.09000000357627869
2020-04-30,34.15,35.05,2485.60009765625,2902.5,0.09000000357627869
2020-05-01,37.19,37.97,2701.60009765625,2821.75,0.09300000220537186
2020-05-04,35.97,37.0,2646.39990234375,2825.25,0.09000000357627869
2020-05-05,33.61,35.52,2544.800048828125,2858.25,0.10999999940395355
2020-05-06,34.12,35.68,2573.60009765625,2833.5,0.1080000028014183
2020-05-07,31.44,34.01,2469.60009765625,2880.0,0.0949999988079071
2020-05-08,27.98,31.64,2299.199951171875,2928.5,0.0949999988079071
2020-05-11,27.57,30.39,2141.60009765625,2922.75,0.10499999672174454
2020-05-12,33.04,34.26,2357.60009765625,2852.5,0.12300000339746475
2020-05-13,35.28,36.51,2599.199951171875,2813.0,0.11500000208616257
2020-05-14,32.61,34.9,2472.0,2847.0,0.10499999672174454
2020-05-15,31.89,34.51,2404.800048828125,2846.5,0.10300000011920929
2020-05-18,29.3,31.77,2251.199951171875,2948.0,0.10499999672174454
2020-05-19,30.53,32.81,2364.800048828125,2918.75,0.11800000071525574
2020-05-20,27.99,31.11,2221.60009765625,2968.5,0.11800000071525574
2020-05-21,29.53,32.38,2270.39990234375,2937.0,0.10999999940395355
2020-05-22,28.16,31.54,2252.800048828125,2953.0,0.10999999940395355
2020-05-26,28.01,30.85,2224.0,2994.5,0.11800000071525574
2020-05-27,27.62,30.19,2172.800048828125,3035.5,0.13500000536441803
2020-05-28,28.59,31.21,2256.800048828125,3038.0,0.1379999965429306
2020-05-29,27.51,30.27,2184.0,3042.0,0.12800000607967377
2020-06-01,28.23,30.92,2194.39990234375,3054.0,0.12800000607967377
2020-06-02,26.84,29.93,2135.199951171875,3077.0,0.14499999582767487
2020-06-03,25.66,28.91,2041.5999755859375,3117.75,0.14800000190734863
2020-06-04,25.81,28.85,2022.4000244140625,3110.5,0.14000000059604645
2020-06-05,24.52,27.42,1913.5999755859375,3186.75,0.14499999582767487
2020-06-08,25.81,28.08,1956.0,3227.5,0.15299999713897705
2020-06-09,27.57,29.67,2054.39990234375,3205.5,0.16500000655651093
2020-06-10,27.57,29.57,2041.5999755859375,3186.0,0.16500000655651093
2020-06-11,40.79,40.43,2727.199951171875,3010.25,0.15299999713897705
2020-06-12,36.09,38.05,2538.39990234375,3034.75,0.15000000596046448
2020-06-15,34.4,36.43,2476.800048828125,3073.0,0.1550000011920929
